h3_index,population,count_amenity_education,count_amenity_healthcare,count_amenity_shopping_food,count_amenity_leisure_recreation,count_amenity_workplaces,count_amenity_public_services,has_station,city,station_probability,station_rank,percentile_rank
89195da4a23ffff,2788.4077,0,0,0,1,0,0,0,london,0.035522438868409424,4034.0,85.69858545751055
89194ad132fffff,2188.4658,0,0,1,0,0,1,0,london,0.035497484826299504,4035.0,85.69504023823873
89194ad0157ffff,1484.4956,0,0,2,0,0,1,0,london,0.03547276688453159,4036.0,85.69149501896692
89194e69d5bffff,2433.3135,0,0,3,0,0,1,1,london,0.035449550449550456,4037.0,85.6879497996951
89195da5c83ffff,458.0177,0,0,3,0,0,0,0,london,0.035410384665892976,4038.0,85.68440458042329
89194ad35cfffff,3324.9329,1,0,3,1,0,0,0,london,0.035334928229665066,4039.0,85.68085936115149
89195dac94bffff,1701.4572,0,0,1,0,0,0,0,london,0.03530394432954275,4040.0,85.67731414187968
89195da552fffff,880.01294,0,0,0,0,0,0,0,london,0.03506193909285823,4041.0,85.67376892260786
89195daecb3ffff,879.95807,0,0,0,0,0,0,0,london,0.03506193909285823,4041.0,85.67376892260786
89194e6d86fffff,879.8522,0,0,0,0,0,0,0,london,0.03506193909285823,4041.0,85.67376892260786
891f18b05c7ffff,707.283,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f1d4d56bffff,706.7943,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f18b568bffff,707.39404,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f1d4ddd7ffff,707.7228,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f1d4dc93ffff,706.56934,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f1d4d867ffff,707.12115,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f18b212fffff,705.94763,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f1d48c8fffff,707.88043,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f1d4d5dbffff,707.5973,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
89194ad1c07ffff,708.9624,0,0,1,0,0,0,0,london,0.035017084679144925,4044.0,85.66313326479242
891f1d48aafffff,709.6234,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f18b01dbffff,709.8323,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f1d4c4c3ffff,707.49646,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
89194adb597ffff,708.302,0,0,1,0,0,0,0,london,0.035017084679144925,4044.0,85.66313326479242
891f1d4828fffff,708.9812,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f1d4f00fffff,709.2737,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f1d4b54fffff,709.11646,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f1d4d18fffff,710.1616,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f1d494d3ffff,708.2028,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
891f18b75dbffff,705.94763,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
